Job Id,Job Title,Company,location,Job Description,Experience,Qualifications,Salary Range,Work Type,skills
1089840000000000.0,Digital Marketing Specialist,Icahn Enterprises,Douglas,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",5 to 15 Years,M.Tech,$59K-$99K,Intern,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
398454000000000.0,Web Developer,PNC Financial Services Group,Ashgabat,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.",2 to 12 Years,BCA,$56K-$116K,Intern,"HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)"
481640000000000.0,Operations Manager,United Services Automobile Assn.,Macao,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.",0 to 12 Years,PhD,$61K-$104K,Temporary,"Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge"
688193000000000.0,Network Engineer,Hess,Porto-Novo,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",4 to 11 Years,PhD,$65K-$91K,Full-Time,Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues
117058000000000.0,Event Manager,Cairn Energy,Santiago,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",1 to 12 Years,MBA,$64K-$87K,Intern,Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations
116831000000000.0,Software Tester,Adani Ports and Special Economic Zone,Brussels,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",4 to 12 Years,MCA,$59K-$93K,Full-Time,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
1292170000000000.0,Teacher,FedEx,George Town,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.",3 to 15 Years,PhD,$63K-$103K,Temporary,Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction
1498780000000000.0,UX/UI Designer,Ryder System,Ṣo Tom̩,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",2 to 8 Years,M.Com,$65K-$102K,Contract,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
1680290000000000.0,UX/UI Designer,Zee Entertainment Enterprises,Male,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,2 to 9 Years,BBA,$65K-$102K,Temporary,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
255628000000000.0,Wedding Planner,CSX,Saint John's,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.",1 to 10 Years,BBA,$60K-$80K,Full-Time,Wedding planning Vendor coordination Event management
2696960000000000.0,QA Analyst,McDonald's,Manama,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",3 to 10 Years,BCA,$57K-$104K,Contract,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
1446190000000000.0,Litigation Attorney,TPG Telecom,The City of Hamilton,"Family Law Attorneys deal with legal matters related to family relationships. They handle cases like divorce, child custody, adoption, and domestic disputes to provide legal guidance.",4 to 12 Years,B.Tech,$64K-$98K,Contract,Family law Divorce proceedings Child custody Mediation Legal counseling Court representation
1914120000000000.0,Mechanical Engineer,ThyssenKrupp AG,Kingston,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.",3 to 15 Years,MCA,$65K-$122K,Part-Time,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping"
290762000000000.0,Network Administrator,EnLink Midstream,Banjul,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",1 to 8 Years,B.Com,$56K-$86K,Temporary,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
