Job Id,Job Title,Company,location,Job Description,Experience,Qualifications,Salary Range,Work Type,skills,clean_description,extracted_skills,categories
1.08984E+15,Digital Marketing Specialist,Icahn Enterprises,Douglas,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.",5 to 15 Years,M.Tech,$59K-$99K,Intern,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",social media managers oversee an organizations social media presence they create and schedule content engage with followers and analyze social media metrics to drive brand awareness and engagement,,
3.98454E+14,Web Developer,PNC Financial Services Group,Ashgabat,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.",2 to 12 Years,BCA,$56K-$116K,Intern,"HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",frontend web developers design and implement user interfaces for websites ensuring they are visually appealing and user friendly they collaborate with designers and backend developers to create seamless web experiences for users,"JavaScript (Programming), HTML (Programming), CSS (Programming), HTML (Web Development), CSS (Web Development), React (Web Development), Angular (Web Development)","Programming, Web Development"
4.8164E+14,Operations Manager,United Services Automobile Assn.,Macao,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.",0 to 12 Years,PhD,$61K-$104K,Temporary,"Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge",quality control managers establish and enforce quality standards within an organization they develop quality control processes perform inspections and implement corrective actions to maintain product or service quality,,
6.88193E+14,Network Engineer,Hess,Porto-Novo,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",4 to 11 Years,PhD,$65K-$91K,Full-Time,Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,wireless network engineers design implement and maintain wireless network solutions they optimize wireless connectivity troubleshoot issues and ensure reliable and secure wireless communications,,
1.17058E+14,Event Manager,Cairn Energy,Santiago,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",1 to 12 Years,MBA,$64K-$87K,Intern,Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,a conference manager coordinates and manages conferences meetings and events they plan logistics handle budgeting liaise with vendors and ensure the smooth execution of events catering to the needs and expectations of attendees,,
1.16831E+14,Software Tester,Adani Ports and Special Economic Zone,Brussels,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.",4 to 12 Years,MCA,$59K-$93K,Full-Time,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",a quality assurance analyst tests software and products to ensure they meet quality standards they identify defects report issues and work with development teams to resolve problems,,
1.29217E+15,Teacher,FedEx,George Town,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.",3 to 15 Years,PhD,$63K-$103K,Temporary,Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction,a classroom teacher educates students in a specific subject or grade level they create lesson plans deliver instruction assess student progress and foster a positive learning environment,,
1.49878E+15,UX/UI Designer,Ryder System,Ṣo Tom̩,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.",2 to 8 Years,M.Com,$65K-$102K,Contract,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",user interface designers focus on the visual and interactive aspects of digital interfaces they design layouts buttons and other elements to ensure a cohesive and visually appealing user interface,,
1.68029E+15,UX/UI Designer,Zee Entertainment Enterprises,Male,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,2 to 9 Years,BBA,$65K-$102K,Temporary,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,interaction designers specialize in designing user interactions within digital interfaces they create meaningful and engaging user experiences by considering user behaviors and system responses,,
2.55628E+14,Wedding Planner,CSX,Saint John's,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.",1 to 10 Years,BBA,$60K-$80K,Full-Time,Wedding planning Vendor coordination Event management,a wedding consultant assists couples in planning and coordinating their weddings helping them with vendor selection budget management and ensuring a seamless wedding day experience,,
